Who?	ใคร?
What you do with it is up to you.	สิ่งที่คุณทำกับมันขึ้นอยู่กับคุณ
Where did you go to in Australia?	คุณไปเที่ยวที่ไหนในออสเตรเลีย
You're in better shape than I am.	เธอรูปร่างดีกว่าฉันเสียอีก
Arabic is read from right to left.	ภาษาอารบิคจะอ่านจากขวาไปซ้าย
Did Tom have sandwiches for lunch?	ทอมกินแซนด์วิชสำหรับอาหารกลางวันหรือไม่
Do you remember what Tom was like?	คุณจำได้มั้ยว่าทอมเป็นอย่างไร?
Do you want to have steak tonight?	คุณต้องการสเต็กคืนนี้หรือไม่?
I said it wasn't a very good idea.	ฉันบอกว่ามันไม่ใช่ความคิดที่ดี
I try to be positive all the time.	ฉันพยายามที่จะมองในด้านบวกตลอดเวลา
I wouldn't eat that if I were you.	ฉันจะไม่กินมันหรอกถ้าฉันเป็นคุณ
It's the book you are looking for.	นี่มันหนังสือเล่มที่คุณกำลังหาอยู่
My mother is a psychology teacher.	แม่ของฉันเป็นอาจารย์ด้านจิตวิทยา
Try not to be late again tomorrow.	พรุ่งนี้พยายามอย่าสายอีกหละ
We'll eat lunch together at 12:30.	เราจะทานอาหารเที่ยงด้วยกันตอนเที่ยงครึ่ง
What are we going to do about Tom?	เราจะทำอย่างไรกับทอม?
What color do you think Tom likes?	คุณคิดว่าทอมชอบสีอะไร?
Which one do you think is correct?	คุณคิดว่าอันไหนถูก?
You should not break your promise.	คุณไม่ควรผิดสัญญา
Could you call again later, please?	กรุณาโทรอีกครั้งในภายหลังได้ไหม?
Did your husband have many enemies?	สามีของคุณมีศัตรูมากไหม?
Does Tom intend to become a doctor?	ทอมตั้งใจที่จะเป็นหมอหรือไม่?
How many close friends do you have?	คุณมีเพื่อนสนิทกี่คน?
I had never been on a plane before.	ฉันไม่เคยนั่งเครื่องบินมาก่อนเลย
I've been studying for three hours.	ฉันเรียนมาสามชั่วโมงแล้ว
Is there something you want to buy?	มีอะไรที่เธอต้องการจะซื้อมั้ย?
The lion is the king of the jungle.	สิงโตเป็นราชาแห่งป่า
This is always the way it has been.	นี่คือสิ่งที่เคยเป็นมาเสมอ
Using a computer can save you time.	การใช้คอมพิวเตอร์ช่วยให้คุณประหยัดเวลา
What was Tom's motive for doing it?	ทอมมีแรงจูงใจอะไรในการทำ?
Why does Tom need to do that today?	ทำไมทอมต้องทำอย่างนั้นในวันนี้?
Did you find out anything about Tom?	ระบบการเขียนทั้งหมดมีทั้งข้อดีและข้อเสีย
I can't speak fluent Indonesian yet.	ฉันยังพูดภาษาอินโดนีเซียไม่คล่อง
I want you to go to Boston with Tom.	ฉันต้องการให้คุณไปบอสตันกับทอม
I wouldn't drink that if I were you.	ฉันจะไม่ดื่มมันหรอกถ้าฉันเป็นคุณ
Is this the book you're looking for?	นี่ใช่หนังสือที่คุณตามหาอยู่รึเปล่า?
My mother carefully opened the door.	แม่ของฉันเปิดประตูอย่างระมัดระวัง
Tom found an old safe in his garage.	ทอมเจอตู้เซฟเก่าในโรงรถ
What do you think of Tom's attitude?	คุณคิดอย่างไรกับทัศนคติของทอม?
What do you want me to do with this?	คุณต้องการให้ฉันทำอะไรกับสิ่งนี้?
When I grow up, I want to be a king.	เมื่อฉันโตขึ้น ฉันอยากเป็นราชา
Did Tom draw this picture by himself?	ทอมวาดรูปนี้ด้วยตัวเองเหรอ?
I have known him since he was a baby.	ฉันรู้จักเขามาตั้งแต่เขายังเป็นเด็ก
Their apples aren't as tasty as ours.	แอปเปิลของพวกเขาไม่อร่อยเท่าของพวกเรา
What do you want me to do with these?	คุณต้องการให้ฉันทำอะไรกับสิ่งเหล่านี้
Why don't you listen to Tom's advice?	ทำไมคุณไม่ฟังคำแนะนำของทอม?
Does Tom belong to the club you're in?	ทอมเป็นสมาชิกชมรมที่คุณอยู่หรือไม่?
Does Tom really have to do that today?	ทอมต้องทำนั่นวันนี้จริง ๆ มั้ย?
Have you ever seen sausage being made?	คุณเคยเห็นวิธีทำไส้กรอกไหม?
Helen Keller was blind, deaf and mute.	เฮเลน เคลเลอร์เป็นคนตาบอด หูหนวก และเป็นใบ้
I once wanted to be an astrophysicist.	ฉันเคยต้องการที่จะเป็นนักดาราศาสตร์ฟิสิกส์
I think it is best not to be impolite.	ฉันคิดว่าเป็นการดีที่สุดถ้าจะไม่สุภาพ
I told them to send me another ticket.	ฉันบอกให้พวกเขาส่งตั๋วอีกใบมาให้
Tom's speech ended on a positive note.	คำพูดของทอมจบลงด้วยหมายเหตุที่เป็นบวก
Are all of you friends with each other?	พวกคุณทุกคนเป็นเพื่อนกันหรือเปล่า?
He will be a good husband to my sister.	เขาน่าจะเป็นสามีที่ดีของน้องสาวฉัน
He will be a good husband to my sister.	เขาน่าจะเป็นสามีที่ดีของพี่สาวฉัน
I'm not going to go to Boston with Tom.	ฉันจะไม่ไปบอสตันกับทอม
There was a blue notebook on the table.	มันมีสมุดสีน้ำเงินบนโต๊ะ
Tom didn't know what he should believe.	ทอมไม่รู้ว่าเขาควรเชื่ออะไร
You haven't been here before, have you?	คุณไม่เคยมาที่นี่ก่อนใช่ไหม?
It seems to me that Tom is too careless.	สำหรับฉันดูเหมือนว่าทอมประมาทเกินไป
We've gotten a lot of positive feedback.	เราได้รับการตอบรับเชิงบวกมากมาย
I'll call them tomorrow when I come back.	ฉันจะโทรหาพวกเขาพรุ่งนี้เมื่อฉันกลับมา
Most people write about their daily life.	คนส่วนใหญ่เขียนเกี่ยวกับชีวิตประจำวันของพวกเขา
Tom said Mary was coming over for dinner.	ทอมบอกว่าแมรี่กำลังมาในมื้อเย็น
What prevented Tom from coming yesterday?	อะไรทำให้ทอมไม่มาเมื่อวานนี้?
I have already finished reading this book.	ฉันอ่านหนังสือเล่มนี้เสร็จแล้ว
That's the stupidest thing I've ever said.	นั่นคือสิ่งที่โง่ที่สุดที่ฉันเคยพูด
Tom recognized Mary as soon as he saw her.	ทอมจำแมรี่ได้ทันทีที่เขาเห็นเธอ
Did you find the book you were looking for?	คุณเจอหนังสือที่ตามหาตอนนั้นหรือยัง
I am afraid they don't get along very well.	ฉันเกรงว่าพวกเขาไปด้วยกันได้ไม่ค่อยดีเท่าไหร่
I'd be unhappy, but I wouldn't kill myself.	ฉันจะไม่มีความสุข แต่ฉันจะไม่ฆ่าตัวตาย
I'm going to study French for one semester.	ฉันจะเรียนภาษาฝรั่งเศษเป็นเวลาหนึ่งเทอม
Let's consider the worst that could happen.	ลองพิจารณาสิ่งที่แย่ที่สุดที่อาจเกิดขึ้นได้
Respect yourself and you will be respected.	จงเคารพตัวเองแล้วคุณจะได้รับความเคารพ
The simplest solutions are always the best.	ทางแก้ปัญหาที่ง่ายที่สุดมักจะเป็นทางที่ดีที่สุดเสมอ
Tom is always so negative about everything.	ทอมให้มองเห็นทุกอย่างในแง่ลบเสมอ
You should have knocked before you came in.	คุณควรเคาะประตูก่อนที่จะเข้ามา
I don't want to work under these conditions.	ฉันไม่ต้องการทำงานภายใต้เงื่อนไขเหล่านี้
In order to do that, you have to take risks.	ในการทำเช่นนั้น คุณต้องยอมรับความเสี่ยง
I wonder why Tom didn't come to Mary's party.	ฉันสงสัยว่าทำไมทอมถึงไม่มาที่ปาร์ตี้ของแมรี่
I'll do my best not to disturb your studying.	ฉันจะพยายามสุดความสามารถที่จะไม่รบกวนการเรียนของเธอ
People don't like what they can't understand.	ผู้คนมักไม่ชอบในสิ่งที่พวกเขาไม่เข้าใจ
The more you have, the more you have to lose.	ยิ่งมีมาก ก็ยิ่งต้องเสียมาก
These books are mine and those books are his.	หนังสือกองนี้ของฉัน ส่วนกองโน้นน่ะของเค้า
You need to be more positive about your work.	คุณต้องมีทัศนคติที่ดีต่องานของคุณ
I wonder what Tom's motive for doing that was.	ฉันสงสัยว่าทอมมีเหตุผลอะไรในการทำอย่างนั้น
I'm looking for someone to do my laundry for me.	ฉันกำลังมองหาคนซักเสื้อผ้าสำหรับฉัน
Tom reminded Mary that she had to do that today.	ทอมเตือนแมรี่ว่าเธอต้องทำสิ่งนั้นวันนี้
Tom said Mary didn't think John really did that.	ทอมพูดว่าแมรี่ไม่ได้คิดว่าจอห์นทำอย่างนั้นจริง
We went to the museum to study Japanese history.	เราไปที่พิพิธภัณฑ์เพื่อศึกษาประวัติศาสตร์ญี่ปุ่น
I have a lot of work that still needs to be done.	ฉันมีงานที่ต้องทำมากมาย
That was probably what influenced their decision.	นั่นอาจเป็นสิ่งที่มีอิทธิพลต่อการตัดสินใจของพวกเขา
I've persuaded Tom to stay in Boston until Monday.	ฉันเกลี้ยกล่อมทอมให้อยู่ในบอสตันจนถึงวันจันทร์
I can't tell her now. It's not that simple anymore.	ฉันบอกเธอไม่ได้ตอนนี้ มันไม่ง่ายอย่างนั้นอีกแล้ว
It would take forever for me to explain everything.	มันคงใช้เวลานานมากสำหรับฉันที่จะอธิบายทุกอย่าง
The man confessed that he had robbed the old woman.	ผู้ชายสารภาพว่าเค้าปล้นผู้หญิงแก่คนนั้น
He was poor for a long time, but he is well off now.	เขาเคยเป็นคนจนมาเป็นเวลานาน แต่ตอนนี้เขาดีแล้ว
I asked around and everybody says Tom is a good guy.	ฉันได้ถามกับคนรอบข้างและทุกคนต่างก็บอกว่าทอมเป็นคนที่ดี
How much would you charge me to do my laundry for me?	คุณคิดค่าบริการฉันเท่าไรสำหรับการซักรีดให้ฉัน
I wonder where to hang this picture that Tom gave me.	ฉันสงสัยว่าจะแขวนรูปที่ทอมให้มาตรงไหนดี
Whenever I find something I like, it's too expensive.	เมื่อใดก็ตามที่ฉันพบบางสิ่งที่ฉันชอบมันจะแพงเกินไป
All writing systems have advantages and disadvantages.	ระบบการเขียนทั้งหมดมีทั้งข้อดีและข้อเสีย
Back in high school, I got up at 6 a.m. every morning.	กลับมาตอนมัธยม ฉันตื่นนอนเวลา 6 โมงเช้าทุกเช้า
Don't be so glum about it. Life has its ups and downs.	อย่ามัวแต่กังวลมัน ชีวิตมีช่วงขึ้นและลง
Only Tom would have the guts to do that kind of thing.	ทอมเท่านั้นที่จะมีความกล้าที่จะทำสิ่งอย่างนั้น
Our school prohibits us from going to the movies alone.	โรงเรียนของเราห้ามไม่ให้เราไปดูหนังคนเดียว
Do you have anything in the refrigerator that I can eat?	คุณมีอะไรในตู้เย็นที่ฉันกินได้ไหม
I've always wondered what it'd be like to have siblings.	ฉันสงสัยอยู่เสมอว่ามันจะเป็นอย่างไรที่มีพี่น้อง
Did you see the sunrise earlier? It was really beautiful.	คุณได้เห็นพระอาทิตย์ขึ้นเมื่อกี้ไหม? มันสวยมากเลย
Just go about your business and don't keep looking at me.	แค่ไปทำงานของคุณและเลิกมองฉัน
The football game might be called off on account of rain.	ฟุตบอลอาจจะยกเลิกเพราะฝนตก
While we were on holiday, a neighbor took care of our cat.	ระหว่างที่พวกเราไปเที่ยววันหยุดกัน มีเพื่อนบ้านคนหนึ่งช่วยดูแลแมวของพวกเราให้
I suspect Tom won't tell Mary what happened to him yesterday.	ฉันคิดว่าทอมจะไม่บอกแมรี่ว่าเกิดอะไรขึ้นกับเขาเมื่อวานนี้
He listened very carefully in order not to miss a single word.	เขาฟังอย่างระมัดระวังเพื่อไม่ให้พลาดแม้แต่คำเดียว
