Wow!	Vau!
I wish I had known.	Da sam bar znala.
I would love to go.	Voleo bih da odem.
I would love to go.	Волела бих да одем.
I'd be up for that.	Ja bih se uključio.
I'll be back later.	Vratiću se kasnije.
I'll be back later.	Вратићу се касније.
I'll be better now.	Biću bolje sada.
I'll get Tom ready.	Spremiću Toma.
I'll take a shower.	Istuširaću se.
I'll take a shower.	Истушираћу се.
I'm an old man now.	Sada sam stari čovek.
I'm an old man now.	Sada sam starac.
I'm angry with Tom.	Ljuta sam na Toma.
I'm angry with Tom.	Љута сам на Тома.
I'm angry with Tom.	Ljut sam na Toma.
I'm angry with Tom.	Љут сам на Тома.
I'm angry with Tom.	Kivan sam na Toma.
I'm angry with Tom.	Киван сам на Тома.
I'm angry with Tom.	Kivna sam na Toma.
I'm angry with Tom.	Кивна сам на Тома.
I'm claustrophobic.	Klaustrofobičan sam.
I'm claustrophobic.	Klaustrofobična sam.
I'm going to leave.	Otići ću.
I'm going to leave.	Отићи ћу.
I'm going to study.	Studiraću.
I'm having a blast.	Odlično mi je.
I'm not a teenager.	Nisam tinejdžer.
I'm not late, am I?	Ne kasnim, zar ne?
I'm not mad at you.	Nisam ljut na tebe.
I'm not mad at you.	Нисам љут на тебе.
I'm not mad at you.	Ne ljutim se na tebe.
I'm not mad at you.	Не љутим се на тебе.
I'm not signing it.	Ja neću da to potpišem.
I'm rather curious.	Prilično sam radoznao.
I'm really curious.	Baš me zanima.
I'm really curious.	Stvarno sam radoznao.
I'm taking my time.	Ne žurim.
I'm taking my time.	Nigde se ne žurim.
I'm used to it now.	Već sam se navikao.
I'm used to it now.	Već sam se navikla.
I'm very impressed.	Veoma sam impresioniran.
I'm very impressed.	Веома сам импресиониран.
I'm very impressed.	Веома сам импресионирана.
I've learned a lot.	Puno toga sam naučio.
I've learned a lot.	Mnogo toga sam naučio.
Is Tom coming back?	Da li se Tom vraća?
Is Tom still there?	Da li je Tom još uvek tamo?
Is there any proof?	Postoji li ikakav dokaz?
Is there any proof?	Постоји ли икакав доказ?
Is this seat taken?	Да ли је ово место заузето?
Is this seat taken?	Da li je ovo mesto zauzeto?
Is this seat taken?	Је ли ово место заузето?
Is this seat taken?	Je li ovo mesto zauzeto?
Is this your money?	Da li je ovo tvoj novac?
It is raining hard.	Kiša jako pada.
It made me furious.	Razbesnelo me je.
It rained for days.	Kiša je padala danima.
It rained that day.	Tog dana je padala kiša.
It's a Cuban cigar.	To je kubanska cigara.
It's not that easy.	Nije baš tako lako.
It's not that easy.	Није баш тако лако.
It's really bright.	Baš je svetlo.
It's snowing today.	Данас пада снег.
It's time to sleep.	Vreme je za spavanje.
It's time to sleep.	Време је за спавање.
Italy isn't Greece.	Italija nije Grčka.
Keep a low profile.	Nemoj se isticati.
Keep a low profile.	Немој се истицати.
Keep a low profile.	Ne ističi se!
Keep a low profile.	Не истичи се!
Keep a low profile.	Ne privlači pažnju.
Keep a low profile.	Не привлачи пажњу.
Let's wait a while.	Hajde da sačekamo malo.
Let's wait a while.	Hajde da pričekamo.
Make love, not war.	Vodite ljubav, a ne rat!
Make love, not war.	Водите љубав, а не рат!
Move it along, Tom.	Prosledi dalje, Tome.
Never give up hope.	Nikad ne gubi nadu.
Never give up hope.	Никад не губи наду.
No one is immortal.	Niko nije besmrtan.
No one is immortal.	Нико није бесмртан.
Please don't shout.	Molim te, ne viči.
Please don't shout.	Molim vas, ne vičite.
Please don't shout.	Molim te, ne deri se.
Please don't shout.	Molim vas, ne derite se.
She came on strong.	Bila je nametljiva.
She has short hair.	Она има кратку косу.
Some of us hate it.	Neki od nas mrze to.
Something happened.	Нешто се десило.
Take a sip of this.	Probaj ovo.
That can't be true.	To ne može biti istina.
That can't be true.	То не може бити истина.
That is intriguing.	To je zanimljivo.
That isn't allowed.	To nije dozvoljeno.
That was very good.	То је било врло добро.
That was very good.	Baš je bilo dobro.
That was very good.	Баш је било добро.
That's unimportant.	To je nevažno.
That's unimportant.	To nije važno.
The coffee is cold.	Kafa je hladna.
The fuse has blown.	Прегорео је осигурач.
The fuse has blown.	Osigurač je pregoreo.
The fuse has blown.	Pregoreo je osigurač.
The fuse has blown.	Осигурач је прегорео.
The path is direct.	Put je direktan.
The server is down.	Server ne radi.
The thief ran away.	Lopov je pobegao.
The thief ran away.	Лопов је побегао.
The tires squealed.	Kočnice su zaškripale.
The tires squealed.	Kočnice zaškripaše.
There goes our bus.	Оде нам аутобус.
There goes our bus.	Ode nam autobus.
There goes our bus.	Оде наш аутобус.
There goes our bus.	Ode naš autobus.
They did mean that.	Stvarno su mislili to.
They work together.	Раде заједно.
They work together.	Они заједно раде.
They work together.	Они раде заједно.
Tom began to leave.	Tom je krenuo.
Tom began to relax.	Tom je počeo da se opušta.
Tom braced himself.	Tom se pripremio.
Tom can write well.	Tom ume da piše lepo.
Tom can write well.	Tom piše lepo.
Tom could be lying.	Tom bi mogao da laže.
Tom did well today.	Tom je danas bio dobar.
Tom grabbed my arm.	Tom me je grabio za ruku.
Tom has been fired.	Tom je otpušten.
Tom has been fired.	Том је отпуштен.
Tom has gotten fat.	Tom se udebljao.
Tom is a real nerd.	Том је прави штребер.
Tom is a real nerd.	Tom je pravi štreber.
Tom is bored stiff.	Tom je smoren.
Tom is bored stiff.	Tomu je strašno dosadno.
Tom is sure to win.	Tom će sigurno pobediti.
Tom is sure to win.	Sigurno će Tom pobediti.
Tom is sure to win.	Sigurno će Tom da pobedi.
Tom is sure to win.	Tom će sigurno da pobedi.
Tom knows that now.	Tom sada zna to.
Tom likes to party.	Tom voli da se provodi.
Tom lives downtown.	Tom živi u centru grada.
Tom looked stunned.	Tom je izgledao zaprepašćeno.
Tom loves to drive.	Tom voli da vozi.
Tom made a promise.	Tom je dao obećanje.
Tom made a promise.	Tom je obećao.
Tom made an omelet.	Tom je spremio omlet.
Tom makes me laugh.	Том ме засмејава.
Tom makes me laugh.	Tom me zasmejava.
Tom may be sincere.	Tom možda bude iskren.
Tom might be there.	Tom bi mogao da bude ovde.
Tom might get lost.	Tom bi mogao da se izgubi.
Tom needs a doctor.	Tomu je potreban doktor.
Tom needs a doctor.	Tomu je potreban lekar.
Tom needs a friend.	Tomu je potreban prijatelj.
Tom needs a reason.	Tomu je potreban razlog.
Tom needs his rest.	Tom mora da se odmori.
Tom needs rest now.	Tom sada mora da se odmori.
Tom needs you here.	Potreban si Tomu ovde.
Tom never gives up.	Tom se nikada ne predaje.
Tom never liked me.	Nikad se nisam dopadao Tomu.
Tom opened his bag.	Tom je otvorio torbu.
Tom picked Mary up.	Tom je pokupio Meri.
Tom pulled a lever.	To je povukao ručicu.
Tom ran to his car.	Tom je otrčao do svog automobila.
Tom requested help.	Tom je zatražio pomoć.
Tom said all right.	Tom je rekao u redu.
Tom sat by himself.	To je sedeo sam.
Tom sat very still.	Tom je sedeo veoma mirno.
Tom seemed anxious.	Tom je izgledao zabrinuto.
Tom seemed nervous.	Tom je delovao nervozno.
Tom stifled a grin.	Tom se prigušeno nasmejao.
Tom teaches French.	Tom predaje francuski.
Tom teaches French.	Том предаје француски.
Tom tied his shoes.	Tom je zavezao cipele.
Tom tried his best.	Tom je dao sve od sebe.
Tom tried the knob.	Tom je probao dugme.
Tom tried to stand.	Tom je pokušao da ustane.
Tom was badly hurt.	Tom je bio teško povređen.
Tom was frustrated.	Tom je bio iznerviran.
Tom was half right.	Tom je bio pola u pravu.
Tom was really mad.	Tom je zaista bio besan.
Tom won't get away.	Tom neće pobeći.
Tom's a day trader.	Tom je dej-trejder.
Tom's dog lay down.	Tomov pas je legao.
Tom's out of a job.	Tom nema posao.
Was Tom delusional?	Da li je tom bio u zabludi?
We all cried a lot.	Svi smo puno plakali.
We all have to die.	Svi moramo da umrem.
We all have to die.	Svi moramo umreti.
We are what we are.	Mi smo ono što jesmo.
We are what we are.	To smo što smo.
We barely survived.	Једва смо преживели.
We drove for miles.	Vozili smo miljama.
We have to do that.	Moramo to da uradimo.
We have to do that.	Морамо то да урадимо.
We haven't met yet.	Још се нисмо упознали.
We haven't met yet.	Još se nismo upoznali.
We help each other.	Mi pomažemo jedni drugima.
We help each other.	Pomažemo jedni drugima.
We just ate dinner.	Upravo smo večerali.
We just ate dinner.	Samo što smo večerali.
We live in a house.	Živimo u kući.
We made it on time.	Stigli smo na vreme.
We offered to help.	Ponudili smo pomoć.
We ran out of food.	Нестало нам је хране.
We ran out of food.	Nestalo nam je hrane.
We ran out of food.	Ostali smo bez hrane.
We ran out of food.	Остали смо без хране.
What am I here for?	Zašto sam ja ovde?
What am I here for?	Zašto sam ovde?
What am I here for?	Šta ću ja ovde?
What an experience!	Kakvo iskustvo!
What an experience!	Какво искуство!
What did I just do?	Šta sam upravo uradio?
What did I just do?	Šta sam upravo uradila?
What do women want?	Šta žene žele?
What do women want?	Шта желе жене?
What does Tom have?	Šta ima Tom?
What should you do?	Šta vi možete učiniti?
What should you do?	Šta treba da uradiš?
What should you do?	Шта треба да учиниш?
What should you do?	Шта треба да урадиш?
What'll it be, Tom?	Odluči se, Tome.
What's your poison?	Кажи шта ћеш да попијеш?
Where are you from?	Odakle si?
Where did I put it?	Gde sam ga stavio?
Where did I put it?	Gde sam je stavio?
Where did I put it?	Gde sam ga stavila?
Where did I put it?	Gde sam je stavila?
Where did you work?	Gde si radio?
Where did you work?	Gde si radila?
Where did you work?	Gde ste radili?
Where is the hotel?	Gde je hotel?
Where's the museum?	Где је музеј?
Who are you really?	Ko si ti zaista?
Who are you really?	Ко си ти заиста?
Who's accusing you?	Ko te optužuje?
Who's accusing you?	Ко те оптужује?
Why can't you stay?	Zašto ne možeš da ostaneš?
Why can't you stay?	Zašto ne možete da ostanete?
Why come to me now?	Zašto sad dolaziš kod mene?
Why would Tom quit?	Zašto bi Tom odustao?
You are in my seat.	Sediš mi na mesto.
You are in my spot.	Stojiš mi na mesto.
You are in my spot.	Zauzeo si mi mesto.
You are under oath.	Под заклетвом си.
You are under oath.	Под заклетвом сте.
You drive me crazy.	Излуђујеш ме.
You drive me crazy.	Izluđuješ me.
You drive me crazy.	Ти ме излуђујеш.
You drive me crazy.	Ti me izluđuješ.
You must be strong.	Moraš biti jak!
You must be strong.	Мораш бити јак!
You need to let go.	Moraš da pustiš to.
You take the money.	Uzmi novac.
You take the money.	Узми новац.
You're my princess.	Ти си моја принцеза.
You're my princess.	Ti si moja princeza.
Allow me to explain.	Dozvoli mi da objasnim.
Allow me to explain.	Dozvoli da objasnim.
Allow me to explain.	Dozvolite mi da objasnim.
Am I being replaced?	Hoću li biti zamenjen?
Am I imagining this?	Da li mi se ovo priviđa?
Answer me right now.	Odmah mi odgovori.
Answer me right now.	Odgovori mi odmah.
Answer me right now.	Odgovori mi smesta.
Answer me right now.	Smesta mi odgovori.
Anybody want a beer?	Hoće neko pivo?
Anybody want a beer?	Je l' neko za pivo?
Anybody want a beer?	'Oće li neko pivo?
Anyone can see that.	Svi mogu da vide to.
Are they all strong?	Da li su svi oni jaki?
Are they still here?	Da li su još uvek tu?
Are they still here?	Da li su još tu?
Are they still here?	Jesu li još tu?
Are those new shoes?	Da li su to nove cipele?
Are those new shoes?	Jesu li to nove cipele?
Are those new shoes?	Je l' su ti to nove cipele?
Are those your bags?	Jesu li ovo tvoje torbe?
Are those your bags?	Da li su ovo tvoje torbe?
Are those your bags?	Jesu li ovo vaše torbe?
Are those your bags?	Da li su ovo vaše torbe?
Are we nearly there?	Da li uskoro stižemo?
Are we nearly there?	Da li stižemo uskoro?
Are we nearly there?	Stižemo li uskoro?
Are you about ready?	Jesi li spreman?
Are you about ready?	Jeste li spremni?
Are you almost here?	Stižete li uskoro?
Are you almost here?	Stižeš li uskoro?
Are you almost here?	Da li stižeš uskoro?
Are you almost here?	Da li stižete uskoro?
Are you coming, Tom?	Dolaziš li, Tome?
Are you coming, Tom?	Da li dolaziš, Tome?
Are you on Facebook?	Jesi li na Fejsbuku?
Are you on Facebook?	Јеси ли на Фејсбуку?
Big girls don't cry.	Velike devojčice ne plaču.
Can I ask something?	Mogu li da pitam nešto?
Can I help you, sir?	Mogu li vam pomoći, gospodine?
Can I help you, sir?	Mogu li da vam pomognem, gospodine?
Can I walk you home?	Mogu li da te ispratim kući?
Can I walk you home?	Могу ли да те испратим кући?
Come back in a week.	Vrati se za nedelju dana.
Come back in a week.	Vrati se za jednu nedelju.
Come to my quarters.	Dođi u moju četvrt.
Come to the meeting.	Dođi na sastanak.
Deal the cards, Tom.	Podeli karte, Tome.
Did anyone phone me?	Da li me je neko zvao?
Did you do anything?	Da li si uradio nešto?
Did you like Boston?	Dopada li ti se Boston?
Do I detect sarcasm?	Osećam li sarkazam?
Do I detect sarcasm?	Осећам ли сарказам?
Do you drink coffee?	Пијете ли кафу?
Do you like spinach?	Da li voliš spanać?
Do you like writing?	Da li voliš da pišeš?
Does Tom have a key?	Da li Tom ima ključ?
Does Tom have a key?	Ima li Tom ključ?
Does Tom have cable?	Ima li Tom kablovsku?
Does Tom have cable?	Da li Tom ima kablovsku?
Does your head hurt?	Boli te glava?
Does your head hurt?	Боли те глава?
Don't argue with me.	Не расправљај се са мном!
Don't argue with me.	Ne raspravljaj se sa mnom!
Don't argue with me.	Не препири се са мном.
Don't argue with me.	Ne prepiri se sa mnom.
Don't argue with me.	Не свађај се са мном.
Don't argue with me.	Ne svađaj se sa mnom.
Don't let Tom sleep.	Ne daj Tomi da spava.
Don't rock the boat.	Не чачкај мечку!
Don't rock the boat.	Не таласај!
Don't rock the boat.	Не мути кашу!
Don't smoke so much.	Nemoj da pušiš toliko.
Don't take the bait.	Немој се упецати.
Don't take the bait.	Немој да се упецаш.
Don't take the bait.	Немој да загризеш мамац.
Don't work too hard!	Не ради превише!
Don't work too hard!	Ne radi previše!
Everybody applauded.	Svi su aplaudirali.
Everybody knew that.	Svi su znali to.
Everybody's smiling.	Svi se smeju.
Everybody's talking.	Svi pričaju.
Everybody's worried.	Svi su zabinuti.
Everyone's laughing.	Svi se smeju.
Everyone's standing.	Svi stoje.
Everything's better.	Sve je bolje.
Everything's normal.	Sve je normalno.
Everything's normal.	Sve je uobičajeno.
Everything's ruined.	Sve je uništeno.
Everything's ruined.	Sve je upropašćeno.
Get a ticket for me.	Uzmi mi kartu.
Give it a shot, Tom.	Probaj, Tome.
Go and look for Tom.	Idi da potražiš Toma.
Go jump in the lake.	Море носи се!
Go jump in the lake.	Завежи и кидај!
He does not like us.	Mi mu se ne sviđamo.
He has a big family.	On ima veliku porodicu.
He has a deep voice.	On ima dubok glas.
He has a good heart.	On ima dobro srce.
He has a good heart.	Он има добро срце.
Here's what I think.	Evo šta ja mislim.
Here's what I think.	Evo šta mislim.
How about I do that?	Šta kažeš da uradim to?
How can we help out?	Kako možemo da pomognemo?
How could I do that?	Kako bih mogao da uradim to?
How could I do that?	Kao bih mogla da uradim to?
How could I help it?	Kako bih mogao da odolim?
How could I help it?	Kako bih mogla da odolim?
How deep is it here?	Koliko je duboko ovde?
How did I miss that?	Kako sam propustio to?
How did I miss that?	Kako sam propustila to?
How did I miss that?	Kako mi je to promaklo?
How did I miss that?	Kako mi je promaklo to?
How did I miss that?	Kako sam prevideo to?
How did I miss that?	Kako sam previdela to?
How did I miss this?	Kako sam propustio ovo?
How did I miss this?	Kakosam propustila ovo?
How did I miss this?	Kako mi je promaklo ovo?
How did I miss this?	Kako mi je ovo promaklo?
How did I miss this?	Kako sam prevideo ovo?
How did I miss this?	Kako sam previdela ovo?
How did it get here?	Kako sam dospeo ovde?
How did it get here?	Kako sam dospela ovde?
How did it get here?	Kako sam se našao ovde?
How did it get here?	Kako sam se našla ovde?
How did you do that?	Kako si uradila to?
How did you do that?	Kako si uradio to?
How may we help you?	Kako možemo da vam pomognemo?
How may we help you?	Kako možemo da ti pomognemo?
How was the concert?	Kakav je bio koncert?
I always take a bus.	Uvek idem autobusom.
I always take a bus.	Uvek idem busem.
I am deeply ashamed.	Duboko sam postiđena.
I am deeply ashamed.	Дубоко сам постиђена.
I am deeply ashamed.	Duboko sam postiđen.
I am deeply ashamed.	Дубоко сам постиђен.
I ate a hasty lunch.	Ručao sam na brzinu.
I ate a hasty lunch.	Ручао сам на брзину.
I can keep a secret.	Umem da čuvam tajnu.
I can't forget that.	Ne mogu da zaboravim to.
I can't get over it.	Не могу да се помирим са тим.
I can't get over it.	Не могу то да преболим.
I can't help myself.	Не могу да одолим.
I can't help myself.	Ne mogu da odolim.
I can't help myself.	Ne mogu da se uzdržim.
I can't help myself.	Не могу да се уздржим.
I can't help myself.	Ne mogu da se suzdržim.
I can't help myself.	Не могу да се суздржим.
I could do it again.	Mogao bi da uradim to ponovo.
I could do it again.	Mogao bih da uradim to opet.
I could eat a horse.	Mogao bih da pojedem konja.
I could eat a horse.	Konja bih mogao da pojeden.
I could eat a horse.	Mogla bih da pojedem konja.
I could eat a horse.	Konja bih mogla da pojedem.
I could go with you.	Mogao bih da pođem sa tobom.
I could go with you.	Mogao bih da krenem sa tobom.
I could go with you.	Mogao bih da pođem s tobom.
I could go with you.	Mogao bih da krenem s tobom.
I could go with you.	Mogla bih da krenem s tobom.
I could go with you.	Mogla bih da krenem sa tobom.
I could go with you.	Mogla bih da pođem s tobom.
I could go with you.	Mogla bih da pođem sa tobom.
I could lose my job.	Mogao bih da izgubim posao.
I could lose my job.	Mogla bih da izgubim posao.
I could talk to Tom.	Mogao bih da porazgovaram sa Tomom.
I could talk to Tom.	Mogao bih da porazgovaram s Tomom.
I could talk to Tom.	Mogao bih da popričam sa Tomom.
I could talk to Tom.	Mogao bih da popričam s Tomom.
I could talk to Tom.	Mogla bih da porazgovaram sa Tomom.
I could talk to Tom.	Mogla bih da porazgovaram s Tomom.
I could talk to Tom.	Mogla bih da popričam sa Tomom.
I could talk to Tom.	Mogla bih da popričam s Tomom.
I eat a lot of meat.	Jedem puno mesa.
I eat a lot of meat.	Ja jedem puno mesa.
I got off the train.	Sišao sam sa voza.
I got off the train.	Сишао сам са воза.
I got off the train.	Сишла сам са воза.
I got off the train.	Sišla sam sa voza.
I have been to Rome.	Bio sam u Rimu.
I have many friends.	Imam mnogo prijatelja.
I have many friends.	Имам много пријатеља.
I have many friends.	Imam puno prijatelja.
I have many friends.	Имам пуно пријатеља.
I have to leave now.	Sada moram da idem.
I know it's illegal.	Znam da je nelegalno.
I know it's illegal.	Znam da je ilegalno.
I listened to music.	Slušao sam muziku.
I think it's doable.	Mislim da je moguće uraditi to.
I will be back soon.	Vraćam se uskoro.
I will go if you go.	Ići ću ako ideš ti.
I will go if you go.	Ići ću ako idete vi.
I wouldn't hurt you.	Ne bih te povredila.
I wouldn't hurt you.	Не бих те повредила.
I wouldn't hurt you.	Ne bih te povredio.
I wouldn't hurt you.	Не бих те повредио.
I'll be around back.	Biću pozadi.
I'll see how Tom is.	Videću kako je Tom.
I'm a little bummed.	Malo sam utučen.
I'm a little bummed.	Malo sam utučena.
I'm a sound sleeper.	Spavam čvrsto.
I'm helping Tom out.	Pomažem Tomu.
I'm not ready to go.	Nisam spreman da idem.
I'm not ready to go.	Nisam spremna da idem.
I'm not ready to go.	Nisam spreman da krenem.
I'm not ready to go.	Nisam spremna da krenem.
I'm not rich enough.	Nisam dovoljno bogat.
I'm not rich enough.	Nisam dovoljno bogata.
I'm only a freshman.	Ja sam tek prva godina.
I'm quite happy now.	Sada sam prilično srećan.
I'm quite happy now.	Sada sam prilično srećna.
I'm really not sure.	Stvarno nisam siguran.
I'm really not sure.	Stvarno nisam sigurna.
I'm resting my legs.	Odmaram noge.
I'm siding with Tom.	Na Tomovoj sam strani.
I'm your conscience.	Ja sam tvoja savest.
Introduce me to Tom.	Upoznaj me sa Tomom.
Introduce me to Tom.	Упознај ме са Томом.
Is Tom helping Mary?	Da li Tom pomaže Meri?
Is any of this real?	Je li išta od ovoga stvarno?
Is any of this true?	Da li je išta od ovoga tačno?
Is it far from here?	Da li je to daleko odavde?
Is that a yes or no?	Je li to da ili ne?
Is this how it ends?	Znači ovako se završava?
It could be a trick.	Mogao bi da bude trik.
It is snowing today.	Данас пада снег.
It isn't hard to do.	To nije teško raditi.
It snowed yesterday.	Juče je padao sneg.
It's a fact of life.	To ti je život.
It's a mess in here.	Ovde je haos.
It's all a big joke.	Sve je velika šala.
It's all a big joke.	Sve je jedna velika šala.
It's all new for me.	Sve to mi je novo.
It's not a big deal.	To nije velika stvar.
It's not a big deal.	Није то ништа страшно.
It's rather curious.	Kako čudno.
Keep an eye on them.	Drži ih na oku.
Keep it simple, Tom.	Ne komplikuj, Tome.
Let's try something.	Hajde da probamo nešto.
My children need me.	Potreban sam svojoj deci.
My family loved Tom.	Moja je porodica volela Toma.
My hair is so dirty!	Kosa mi je tako prljava!
My home is far away.	Kuća mi je daleko.
My life's been good.	Život mi je bio dobar.
My parents are dead.	Моји родитељи су умрли.
My parents are dead.	Moji roditelji su umrli.
My parents are dead.	Родитељи су ми умрли.
My parents are dead.	Roditelji su mi umrli.
My sister is pretty.	Moja sestra je lepa.
No one can stop Tom.	Niko ne može da zaustavi Toma.
No one can stop Tom.	Niko ne može da spreči Toma.
No one has died yet.	Niko još nije umro.
Nobody cares for me.	Nikoga nije briga za mene.
Nobody was watching.	Niko nije gledao.
Nothing can stop me.	Ništa me ne može zaustaviti.
Nothing can stop me.	Ништа ме не може спречити.
One learns by doing.	Uči se tako što se radi.
Please speak slowly.	Molim, pričajte sporije.
Please speak slowly.	Молим, причајте спорије.
Put it on Tom's tab.	Stavi na Tomov račun.
Quit picking on Tom.	Prestani da zadirkuješ Toma.
See you around, Tom.	Vidimo se kasnije, Tome.
Send Tom in, please.	Pošalji Toma da uđe.
She did pretty well.	Prilično dobro je prošla.
She has no brothers.	Ona nema braće.
She opened the door.	Отворила је врата.
She opened the door.	Otvorila je vrata.
She's my first love.	Ona je moja prva ljubav.
Show me your papers!	Покажите ми ваша документа!
Show me your papers!	Pokažite mi vaša dokumenta!
Show me your papers!	Покажите ми ваше исправе!
Show me your papers!	Pokažite mi vaše isprave!
So what did Tom say?	Pa šta je Tom rekao?
So what did Tom see?	Pa šta je Tom video?
So where did Tom go?	Pa gde je Tom otišao?
Somehow we survived.	Преживели смо некако.
Somehow we survived.	Некако смо преживели.
Somehow we survived.	Preživeli smo nekako.
Take Tom for a swim.	Idi isplivaj malo sa Tomom.
Take a few days off.	Odmori se nekoliko dana.
Take a look at that.	Pogledaj to.
Take a look at that.	Pogledaj ono
Take a look at that.	Poledajte to.
Take a look at that.	Pogledajte ono.
Take your shot, Tom.	Probaj, Tome.
Take your time, Tom.	Samo polako, Tome.
That helps us a lot.	To nam puno pomaže.
That helps us a lot.	To nam dosta pomaže.
That was a good hat.	To je bila dobra kapa.
That was a good hat.	To je bio dobar šešir.
That was a good hat.	Bila je to dobra kapa.
That was a good hat.	Bio je to dobar šešir.
That's it for today.	To je sve za danas.
That's it for today.	То је све за данас.
That's your problem.	То је твој проблем.
The doghouse is new.	Kuća za pse je nova.
The door is closing.	Vrata se zatvaraju.
The door is closing.	Врата се затварају.
The pantry is empty.	Шпајз је празан.
The pantry is empty.	Špajz je prazan.
The wind has abated.	Vetar se smirio.
The wind has abated.	Ветар је попустио.
They believe in God.	Oni veruju u Boga.
This car runs great.	Ovaj auto dobro vozi.
This is a love song.	Ovo je ljubavna pesma.
Tom and I were busy.	Tom i ja smo bili zauzeti.
Tom bites his nails.	Tom gricka nokte.
Tom boarded the bus.	Tom se ukrcao na autobus.
Tom boarded the bus.	Tom je ušao u autobus.
Tom brought it here.	Tom ga je doneo ovde.
Tom can barely move.	Tom jedva da može da se pomeri.
Tom can handle this.	Tom će se postarati za ovo.
Tom can't help that.	Tom ne može ništa povodom toga.
Tom cares very much.	Tom se veoma brine.
Tom could be better.	Tom je mogoa da bude bolji.
Tom could care less.	Toma nije bilo briga.
Tom could do better.	Tom je mogao bolje.
Tom could do better.	Mogao je Tom to bolje.
Tom cringed in fear.	Tom je bio preplašen na smrt.
Tom cringed in pain.	Tom se uvijao od bola.
Tom did very nicely.	Tom je dobro uradio.
Tom downed his beer.	Tom je odložio pivo.
Tom dropped the cup.	Tom je ispustio šolju.
Tom dropped the cup.	Tom je ispustio čašu.
Tom ducked his head.	Tom je pognuo glavu.
Tom got really sick.	Tom se baš razboleo.
Tom handled it well.	Tom se dobro poneo.
Tom has had his say.	Tom je rekao svoje.
Tom has his reasons.	Tom ima svoje razloge.
Tom has his reasons.	Ima Tom svoje razloge.
Tom has seen enough.	Tom je video dovoljno.
Tom has seen enough.	Tom je video dosta.
Tom has tricked you.	Tom te je prevario.
Tom has unruly hair.	Tom ima nestašnu kosu.
Tom hates your guts.	Тома те мрзи из дна душе.
Tom hates your guts.	Tom te mrzi iz dna duše.
Tom inserted a disk.	Tom je ubacio disk.
Tom is a teetotaler.	Tom je trezvenjak.
Tom is fighting mad.	Tom se bori kao lud.
Tom is freaking out.	Tom je pošandrcao.
Tom is hard at work.	Tom naporno radi.
Tom is here already.	Tom je već ovde.
Tom is still hiding.	Tom se još krije.
Tom is still hiding.	Tom se još skriva.
Tom is the youngest.	Tom je najmlađi.
Tom isn't very nice.	Tom nije baš fin.
Tom keeps the books.	Том води књиге.
Tom kept good notes.	Tom ima dobre beleške.
Tom knows it's over.	Tom zna da je gotovo.
Tom knows it's over.	Tom zna da je završeno.
Tom knows it's over.	Tom zna da je došao kraj.
Tom knows the drill.	Tom zna proceduru.
Tom knows what's up.	Tom zna šta se događa.
Tom likes that best.	Tom najviše voli to.
Tom likes them both.	Tomu se dopadaju oba.
Tom likes them both.	Tomu se sviđaju oba.
Tom likes them both.	Tomu se dopadaju oboje.
Tom likes them both.	Tomu se dopadaju obe.
Tom likes them both.	Tomu se dopadaju obojica.
Tom likes them both.	Tomu se sviđaju obe.
Tom likes them both.	Tomu se sviđaju obojica.
Tom likes them both.	Tomu se sviđaju oboje.
Tom looked appalled.	Tom je izgledao zapanjeno.
Tom made it himself.	Tom ga je sâm napravio.
Tom may be innocent.	Tom je možda nedužan.
Tom may chicken out.	Tom bi mogao da se uprpa.
Tom needs his sleep.	Tomu treba san.
Tom needs the truth.	Tomu treba istina.
Tom never asked why.	Tom nikad nije pitao zašto.
Tom nodded his head.	Tom je klimnuo glavom.
Tom nodded his head.	Tom klimnu glavom.
Tom paused a second.	Tom je zastao na sekund.
Tom paused a second.	Tom zastade na sekund.
Tom ran back inside.	Tom je utrčao unutra.
Tom said to ask you.	Tom je rekao da pitam tebe.
Tom said to ask you.	Tom je rekao da te pitam.
Tom seems very busy.	Tom deluje zauzeto.
Tom seems very nice.	Tom deluje veoma fino.
Tom should be ready.	Tom bi trebalo da je spreman.
Tom signed the bill.	Tom je potpisao račun.
Tom sipped his wine.	Tom je otpio gutljaj vina.
Tom sipped some tea.	Tom je otpio malo čaja.
Tom sleeps on a cot.	Tom spava u kolevci.
Tom started the car.	Tom je pokrenuo automobil.
Tom stifled a groan.	Tom je ispustio prigušeni uzdah.
Tom stifled a laugh.	Tom se prigušeno nasmeja.
Tom tensed slightly.	Tom je blago napet.
Tom totaled his car.	Tom je izgulio automobil.
Tom turned to leave.	Tom se okrenuo da ode.
Tom understood that.	Tom je razumeo to.
Tom was a bit woozy.	Tom je bio pomalo ošamućen.
Tom was a boy scout.	Tom je bio izviđač.
Tom was gunned down.	Tom je ustreljen.
Tom was half asleep.	Tom je zadremao.
Tom was in no hurry.	Tom se nije žurio.
Tom was in no hurry.	Tom nije žurio.
Tom was in no hurry.	Tomu se nije žurilo.
Tom was pretty good.	Tom je bio prilično dobar.
Tom was real hungry.	Tom je gladan kao vuk.
Tom was taken aback.	Tom je bio šokiran.
Tom was taken aback.	Tom beše šokiran.
Tom was very sleepy.	Tom je bio veoma pospan.
Tom wears bi-focals.	Tom nosi naočare.
Tom works part-time.	Tom radi honorarno.
